2023-08-21 22:44:58.581  INFO 5680 --- [Thread-11] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ALBUMS-WS/albums-ws:9cfb3b7b9d08414d408ff051b216ffd0 - deregister  status: 200
2023-08-21 22:44:58.592  INFO 5680 --- [Thread-11] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
2023-08-21 22:45:07.699  INFO 7704 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2023-08-21 22:45:07.893  INFO 7704 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2023-08-21 22:45:07.894  WARN 7704 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/albums-ws/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2023-08-21 22:45:07.899  INFO 7704 --- [restartedMain] c.a.p.a.a.PhotoAppApiAlbumsApplication   : No active profile set, falling back to default profiles: default
2023-08-21 22:45:09.889  WARN 7704 --- [restartedMain] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2023-08-21 22:45:10.490  INFO 7704 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=14f2c84d-4279-34f4-b730-1deb2e858fae
2023-08-21 22:45:10.736  INFO 7704 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$3ed753d3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-08-21 22:45:12.448  INFO 7704 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 0 (http)
2023-08-21 22:45:12.504  INFO 7704 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-08-21 22:45:12.506  INFO 7704 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.14]
2023-08-21 22:45:12.527  INFO 7704 --- [restartedMain] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Users\telly\.jdks\corretto-11.0.19\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files\Common Files\Oracle\Java\javapath;C:\applications\apache-maven-3.9.2\bin;C:\wamp64\bin\mysql\mysql8.0.31\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\applications\jdk-17.0.7\bin;C:\Program Files\Git\cmd;C:\Program Files\MongoDB\Server\5.0\bin;C:\applications\node-v16.17.0-win-x64;C:\Program Files\PuTTY\;C:\Users\telly\AppData\Local\Microsoft\WindowsApps;C:\applications\jdk-17.0.7\bin;C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2022.1.4\bin;;C:\Program Files\MongoDB\Server\5.0\bin;C:\Users\telly\AppData\Roaming\npm;C:\Users\telly\AppData\Local\Programs\Microsoft VS Code\bin;.]
2023-08-21 22:45:12.796  INFO 7704 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-08-21 22:45:12.796  INFO 7704 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 4861 ms
2023-08-21 22:45:13.049  WARN 7704 --- [restartedMain] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2023-08-21 22:45:13.049  INFO 7704 --- [restartedMain] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-08-21 22:45:13.093  INFO 7704 --- [restartedMain] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@6d39e6eb
2023-08-21 22:45:14.331  WARN 7704 --- [restartedMain] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2023-08-21 22:45:14.332  INFO 7704 --- [restartedMain] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2023-08-21 22:45:14.708  INFO 7704 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2023-08-21 22:45:15.620  WARN 7704 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2023-08-21 22:45:16.203  INFO 7704 --- [restartedMain] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2023-08-21 22:45:16.535  INFO 7704 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 52446 (http) with context path ''
2023-08-21 22:45:16.537  INFO 7704 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 52446
2023-08-21 22:45:16.550  INFO 7704 --- [restartedMain] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2023-08-21 22:45:16.637  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2023-08-21 22:45:16.980  INFO 7704 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2023-08-21 22:45:16.980  INFO 7704 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2023-08-21 22:45:17.409  INFO 7704 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2023-08-21 22:45:17.410  INFO 7704 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2023-08-21 22:45:17.846  INFO 7704 --- [restartedMain] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-08-21 22:45:18.060  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2023-08-21 22:45:18.061  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2023-08-21 22:45:18.061  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2023-08-21 22:45:18.061  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application is null : false
2023-08-21 22:45:18.061  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2023-08-21 22:45:18.061  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2023-08-21 22:45:18.062  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2023-08-21 22:45:18.363  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : The response status is 200
2023-08-21 22:45:18.366  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2023-08-21 22:45:18.369  INFO 7704 --- [restartedMain] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2023-08-21 22:45:18.374  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1692650718373 with initial instances count: 2
2023-08-21 22:45:18.376  INFO 7704 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application ALBUMS-WS with eureka with status UP
2023-08-21 22:45:18.376  INFO 7704 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1692650718376, current=UP, previous=STARTING]
2023-08-21 22:45:18.379  INFO 7704 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ALBUMS-WS/albums-ws:c7092c571198f23439806e511d76a07d: registering service...
2023-08-21 22:45:18.384  INFO 7704 --- [restartedMain] c.a.p.a.a.PhotoAppApiAlbumsApplication   : Started PhotoAppApiAlbumsApplication in 14.064 seconds (JVM running for 16.553)
2023-08-21 22:45:18.431  INFO 7704 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ALBUMS-WS/albums-ws:c7092c571198f23439806e511d76a07d - registration status: 204
2023-08-21 22:48:08.592  INFO 7704 --- [http-nio-auto-1-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-21 22:48:08.593  INFO 7704 --- [http-nio-auto-1-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-08-21 22:48:08.611  INFO 7704 --- [http-nio-auto-1-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 18 ms
2023-08-21 22:48:08.860  INFO 7704 --- [http-nio-auto-1-exec-1] c.a.p.a.a.i.c.AlbumsController           : Returning 2 albums
2023-08-21 22:50:18.074  INFO 7704 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
